priority,issue,row_number,venue_key,pub_name,place_name,postcode,pin_type,current_lat,current_lng,current_source,postcode_displacement_metres,reference_name,reference_lat,reference_lng,difference_metres,reference_url,audit_status
1,listing_postcode_conflicts_with_venue_reference,604,stella taps|mansfield|ng18 4al,Stella Taps,Mansfield,NG18 4AL,venue,53.1359222,-1.1960942,google-maps-named-place,119.2,Stella Taps,53.135879283164,-1.196150579376,6.1,https://camra.org.uk/pubs/195140,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,96,rising sun|church gresley|de11 9ly,Rising Sun,Church Gresley,DE11 9LY,venue,52.7607231,-1.564267,openstreetmap-gb-extract,60.2,Rising Sun,52.7607,-1.5642,5.2,https://camra.org.uk/pubs/123877,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,670,somerset and dorset|burnham-on-sea|ta8 1nz,Somerset and Dorset,Burnham-on-Sea,TA8 1NZ,venue,51.2343647,-2.997543,google-maps-named-place,123.4,Somerset & Dorset,51.234382629395,-2.9974739551544,5.2,https://camra.org.uk/pubs/134015,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,155,red lion|hollington|de6 3ha,Red Lion,Hollington,DE6 3HA,venue,52.952454585714285,-1.661919557142857,openstreetmap-gb-extract,192.7,Red Lion,52.952431,-1.661865,4.5,https://camra.org.uk/pubs/112759,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,959,merchants|rugby|cv21 3aw,Merchants,Rugby,CV21 3AW,venue,52.3713166,-1.2614392,google-maps-named-place,55.8,Merchants Inn,52.371329,-1.261492,3.8,https://camra.org.uk/pubs/148458,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,363,royal|broughton astley|le9 6qb,Royal,Broughton Astley,LE9 6QB,venue,52.5356041,-1.2323141,openstreetmap-gb-extract,134.2,Royal,52.53557,-1.232313,3.8,https://camra.org.uk/pubs/174059,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,408,needle and pin|loughborough|le11 5bg,Needle and Pin,Loughborough,LE11 5BG,venue,52.7734147,-1.2096309,google-maps-named-place,63.8,Needle & Pin,52.773433,-1.209595,3.2,https://camra.org.uk/pubs/171296,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,34,charles roe|macclesfield|sk11 6dy,Charles Roe,Macclesfield,SK11 6DY,venue,53.2608242,-2.128478,openstreetmap-gb-extract,30.1,Charles Roe,53.26081,-2.12844,3.0,https://camra.org.uk/pubs/199589,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,650,bear inn|bridgnorth|wv16 4er,Bear Inn,Bridgnorth,WV16 4ER,venue,52.537224,-2.420888,google-maps-and-official-address,31.8,Bear,52.537212347836,-2.420863628387,2.1,https://camra.org.uk/pubs/122176,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,982,britannia|rowley regis|b91 3ju,Britannia,Rowley Regis,B91 3JU,venue,52.4737713,-2.0418834,openstreetmap,19208.4,Britannia,52.473759600117,-2.041905552149,2.0,https://camra.org.uk/pubs/146446,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,583,guest house|southport: central|pr9 0qf,Guest House,Southport: Central,PR9 0QF,venue,53.6505819,-2.9994951,openstreetmap-gb-extract,29.2,Guest House,53.65058,-2.99947,1.7,https://camra.org.uk/pubs/147054,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,786,dyers arms|leek|st13 8jz,Dyers Arms,Leek,ST13 8JZ,venue,53.1095142,-2.0362443,google-maps-named-place,41.6,Dyers Arms,53.109505,-2.036247,1.0,https://camra.org.uk/pubs/143903,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,999,dead dove|worcester: central|wr1 2lt,Dead Dove,Worcester: Central,WR1 2LT,venue,52.1886066,-2.2190526,google-maps-named-place,10.5,Dead Dove,52.188610229756,-2.219052699117,0.4,https://camra.org.uk/pubs/111424,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,211,navigation|shardlow|de72 2wa,Navigation,Shardlow,DE72 2WA,venue,52.868029,-1.342615,camra-and-official-address,1904.5,Navigation Inn,52.868029,-1.342615,0.0,https://camra.org.uk/pubs/143265,reference_agrees_within_50m_postcode_conflict
