venue_key,lat,lng,reference_name,reference_address,source,source_url,corroborating_source_url,checked_at,review_note
merchants|rugby|cv21 3aw,52.3713166,-1.2614392,The Merchant's Inn,"5 Little Church St, Rugby CV21 3AW",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Merchants+Inn+Rugby+CV21+3AW,,2026-09-13,name place and full postcode agree
mount pleasant inn|castle gresley|de11 9je,52.7498761,-1.5737433,Mount Pleasant Inn,"109 Mount Pleasant Rd, Castle Gresley DE11 9JE",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Mount+Pleasant+Inn+DE11+9JE,,2026-09-13,name place and full postcode agree
mushroom hall|albert village|de11 8en,52.7600976,-1.5504387,The Mushroom Hall,"Mushroom Ln, Albert Village DE11 8EN",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Mushroom+Hall+Albert+Village+DE11+8EN,,2026-09-13,name place and full postcode agree
navigation|shardlow|de72 2wa,52.868029,-1.342615,Navigation Inn,"143 London Road, Shardlow DE72 2HA",camra-and-official-address,https://camra.org.uk/pubs/navigation-inn-shardlow-143265,https://navigationinnshardlow.com/,2026-09-13,listing postcode is wrong; exact name village official address and CAMRA point agree
needle and pin|loughborough|le11 5bg,52.7734147,-1.2096309,The Needle & Pin,"15 The Rushes, Loughborough LE11 5BG",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Needle+and+Pin+Loughborough+LE11+5BG,,2026-09-13,name place and full postcode agree
newcastle town fc (pmc)|newcastle-u-l: central|st5 3bx,52.9980225,-2.2142564,Newcastle Town FC,"Buckmaster Ave, Newcastle-under-Lyme ST5 3BX",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Newcastle+Town+FC+ST5+3BX,,2026-09-13,club and full postcode agree
paddys|bangor|ll57 2he,53.2282206,-4.1346757,Patricksbar.com,"57-59 Holyhead Rd, Bangor LL57 2HE",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Patricksbar+Bangor+LL57+2HE,,2026-09-13,trading-name alias and full postcode agree
pleasant retreat|lostock hall|pr5 5ru,53.7260786,-2.6924564,Pleasant Retreat,"Lostock Hall, Preston PR5 5RU",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Pleasant+Retreat+Lostock+Hall+PR5+5RU,,2026-09-13,name place and listed postcode agree
r and rs sports bar|chellaston|de73 5sa,52.8690371,-1.4379227,R&R's Sports Bar and Lounge,"12 Derby Rd, Chellaston DE73 5SA",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=R%26Rs+Sports+Bar+Chellaston+DE73+5SA,,2026-09-13,name place and full postcode agree
red shed|wakefield|wf1 1qx,53.6838579,-1.4938305,The Red Shed - Wakefield Labour Club,"18 Vicarage St S, Wakefield WF1 1QX",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Red+Shed+Wakefield+WF1+1QX,,2026-09-13,name place and full postcode agree
royal air forces association (pmc)|yeadon|ls19 7na,53.8633885,-1.6961053,RAFA Club,"56 New Rd, Yeadon LS19 7NA",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=RAFA+Club+Yeadon+LS19+7NA,,2026-09-13,organisation alias place and full postcode agree
rushden historic transport society|rushden|nn10 0aw,52.2943013,-0.5980484,Rushden Historical Transport Society & Goods Shed,"Station Approach, Rushden NN10 0AW",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Rushden+Historical+Transport+Society+NN10+0AW,,2026-09-13,organisation identity and full postcode agree
social club (pmc)|rolleston-on-dove|de13 9dn,52.8459312,-1.6502601,Rolleston Club,"15 Burnside, Rolleston-on-Dove DE13 9DN",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Rolleston+Club+DE13+9DN,,2026-09-13,club place and full postcode agree
somerset and dorset|burnham-on-sea|ta8 1nz,51.2343647,-2.997543,Somerset & Dorset Burnham,"1 High St, Burnham-on-Sea TA8 1NZ",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Somerset+and+Dorset+Burnham+TA8+1NZ,,2026-09-13,name place and full postcode agree
stella taps|mansfield|ng18 4al,53.1359222,-1.1960942,Stella Taps,"Stella St, Mansfield NG18 4AL",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Stella+Taps+Mansfield+NG18+4AL,,2026-09-13,name place and full postcode agree
tuppeny|swindon|sn1 4bd,51.5519217,-1.77723,The Tuppenny,"58-59 Devizes Rd, Swindon SN1 4BD",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=The+Tuppenny+Swindon+SN1+4BD,,2026-09-13,minor spelling variation and full postcode agree
ye olde butchers arms|reapsmoor|sk17 0ll,53.1507019,-1.8804221,Ye Olde Butchers Arms,"Reapsmoor, Buxton SK17 0LL",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Ye+Olde+Butchers+Arms+SK17+0LL,,2026-09-13,name place and full postcode agree
