venue_key,pub_name,place_name,postcode,pin_type,current_lat,current_lng,current_source,camra_lat,camra_lng,camra_url,fsa_name,fsa_address,fsa_lat,fsa_lng,fsa_url,current_to_fsa_metres,camra_to_fsa_metres,postcode_to_fsa_metres,fsa_status,checked_at
burton albion fc (fan zone)|burton u-t: central|de13 0ar,Burton Albion FC (Fan zone),Burton U-T: Central,DE13 0AR,venue,52.8215623,-1.627267,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=DE13+0AR&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
cricket club|caverswall|st3 6pj,Cricket Club,Caverswall,ST3 6PJ,venue,52.9890596,-2.0909717,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=ST3+6PJ&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
charlie bassetts|dilhorne|st10 2pq,Charlie Bassetts,Dilhorne,ST10 2PQ,venue,52.9880447387695,-2.04433488845825,food-standards-agency-fhrs,,,,CHARLIE BASSETTS,"New Road, Dilhorne, Stoke On Trent, ST10 2PQ",52.9880447387695,-2.04433488845825,https://api.ratings.food.gov.uk/Establishments?address=ST10+2PQ&pageSize=100&pageNumber=1,0.0,,20.1,unique_name_and_postcode_match,2026-09-11
plough|endon|st9 9be,Plough,Endon,ST9 9BE,venue,53.07882295454545,-2.1085675545454547,openstreetmap-gb-extract,,,,Plough Inn,"Leek Road, Endon, Stoke On Trent Staffordshire, ST9 9BE",53.0788192749023,-2.10842299461365,https://api.ratings.food.gov.uk/Establishments?address=ST9+9BE&pageSize=100&pageNumber=1,9.7,,225.4,unique_name_and_postcode_match,2026-09-11
inkspot|leek|st13 6hx,Inkspot,Leek,ST13 6HX,venue,53.1064453125,-2.02351498603821,food-standards-agency-fhrs,,,,INKSPOT,"Market Street, Leek, Staffordshire, ST13 6HX",53.1064453125,-2.02351498603821,https://api.ratings.food.gov.uk/Establishments?address=ST13+6HX&pageSize=100&pageNumber=1,0.0,,4.9,unique_name_and_postcode_match,2026-09-11
45 club (pmc)|newcastle-u-l: central|st5 1ds,45 Club (PMC),Newcastle-U-L: Central,ST5 1DS,venue,53.0093065,-2.2165397,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=ST5+1DS&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
newcastle town fc (pmc)|newcastle-u-l: central|st5 3bx,Newcastle Town FC (PMC),Newcastle-U-L: Central,ST5 3BX,venue,52.9980225,-2.2142564,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=ST5+3BX&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
cricket club|rolleston-on-dove|de13 9au,Cricket Club,Rolleston-on-Dove,DE13 9AU,venue,52.8465176,-1.6284227,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=DE13+9AU&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
social club (pmc)|rolleston-on-dove|de13 9dn,Social Club (PMC),Rolleston-on-Dove,DE13 9DN,venue,52.8459312,-1.6502601,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=DE13+9DN&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
bucknall bowling & recreation club|stoke: bucknall|st2 7ab,Bucknall Bowling & Recreation Club,Stoke: Bucknall,ST2 7AB,venue,53.0241582,-2.1317236,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=ST2+7AB&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
bamk house hotel|uttoxeter|st14 8ag,Bamk House Hotel,Uttoxeter,ST14 8AG,venue,52.8991217,-1.862908,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=ST14+8AG&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
kings arms|brighton|bn2 1rj,Kings Arms,Brighton,BN2 1RJ,venue,50.8211532,-0.1345786,google-maps-named-place,,,,Kings Arms,"56 George Street, Brighton, BN2 1RJ",50.821744,-0.134367,https://api.ratings.food.gov.uk/Establishments?address=BN2+1RJ&pageSize=100&pageNumber=1,67.4,,6.1,unique_name_and_postcode_match,2026-09-11
kenilworth sporting ground|kenilworth|cv8 1fa,Kenilworth Sporting Ground,Kenilworth,CV8 1FA,venue,52.3310922,-1.5782505,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=CV8+1FA&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
tuppeny|swindon|sn1 4bd,Tuppeny,Swindon,SN1 4BD,venue,51.5519217,-1.77723,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=SN1+4BD&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
whitelocks|leeds: central|ls1 6hb,Whitelocks,Leeds: Central,LS1 6HB,venue,53.7971655,-1.5428815,openstreetmap-gb-extract,,,,Whitelocks,"6 - 8 Turks Head Yard, Leeds, LS1 6HB",53.797216,-1.543394,https://api.ratings.food.gov.uk/Establishments?address=LS1+6HB&pageSize=100&pageNumber=1,34.1,,32.8,unique_name_and_postcode_match,2026-09-11
red shed|wakefield|wf1 1qx,Red Shed,Wakefield,WF1 1QX,venue,53.6838579,-1.4938305,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=WF1+1QX&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
